feature_id	role	category	path	lines	bytes	sha256	public_or_runtime_entry	notes
reviewer:EXAMPLES_MULTI_CYCLE_HANDOFF_MD	reviewer	examples	examples/multi-cycle/handoff.md	50	2105	5ce1c69cbeb324ff065651f8c262ed065834ef236316a50fe3e55ce92ae57dcd	False	配布・検証資産
reviewer:EXAMPLES_MULTI_CYCLE_REVIEW_MD	reviewer	examples	examples/multi-cycle/review.md	44	1030	1e376655e404f3f019e02417a325a66398311b54bfa0a386ab3ce89ecfc3b796	False	配布・検証資産
reviewer:EXAMPLES_MULTI_CYCLE_TRACEABILITY_YAML	reviewer	examples	examples/multi-cycle/traceability.yaml	22	992	96fc4a31f35bbb236932a0b3d4e63626b4d25d83985e38432baccf7b05808670	False	配布・検証資産
reviewer:EXAMPLES_SINGLE_CYCLE_CYCLES_CYCLE_01_AUTHOR_RESPONSE_MD	reviewer	examples	examples/single-cycle/cycles/cycle-01-author-response.md	17	365	04540071daa228ca8096a20f3846d7502cff02b27b28f6241ea3b848f3066c5c	False	配布・検証資産
reviewer:EXAMPLES_SINGLE_CYCLE_CYCLES_CYCLE_01_INDEPENDENT_REVIEW_MD	reviewer	examples	examples/single-cycle/cycles/cycle-01-independent-review.md	16	385	bd9c28bd175dc3aacec8174bcae90ae311996cb819c85831f0abba520b21aebd	False	配布・検証資産
reviewer:EXAMPLES_SINGLE_CYCLE_CYCLES_CYCLE_01_VERIFICATION_MD	reviewer	examples	examples/single-cycle/cycles/cycle-01-verification.md	17	364	6867dc46d9561f3a714cc675f255e8efe58013f7daa6bc11584b3c188875137b	False	配布・検証資産
reviewer:EXAMPLES_SINGLE_CYCLE_EVENTS_JSONL	reviewer	examples	examples/single-cycle/events.jsonl	4	756	6976d7ea001df317f949ce404e39e1d11bf5adef7be1a67c525b8cb7c507b68f	False	配布・検証資産
reviewer:EXAMPLES_SINGLE_CYCLE_FINDINGS_YAML	reviewer	examples	examples/single-cycle/findings.yaml	29	945	7353ebe4dc4fdb154edad4617a45b49840c140b6d5350297a90a296909d781ea	False	配布・検証資産
reviewer:EXAMPLES_SINGLE_CYCLE_HANDOFF_MD	reviewer	examples	examples/single-cycle/handoff.md	50	1968	58f713c6f5aaeaf94f28e9995eee895745d4175781ab5115cafa13ea5448ba0c	False	配布・検証資産
reviewer:EXAMPLES_SINGLE_CYCLE_REVIEW_MD	reviewer	examples	examples/single-cycle/review.md	48	1044	5578b04ac08e41a7458f02042fdf4c7e777c760398a33e1dce0812fbacfe980e	False	配布・検証資産
reviewer:EXAMPLES_SINGLE_CYCLE_TRACEABILITY_YAML	reviewer	examples	examples/single-cycle/traceability.yaml	22	669	bf388543fb2a95979f67d76c9e89bee75e945e74b0d4e7163cc2d855f870bc26	False	配布・検証資産
reviewer:INTEGRATIONS_GITHUB_ACTIONS_EXAMPLE_YML	reviewer	integrations	integrations/github-actions.example.yml	21	602	03a5dd572ef02c4845f444e7f41b65c041a545be7ff61d33ffa652bc4ad08b3c	False	配布・検証資産
reviewer:INTEGRATIONS_PRE_COMMIT_EXAMPLE_YAML	reviewer	integrations	integrations/pre-commit.example.yaml	15	666	d97507c3c0bbcba44ffdccf027c8370d4127f4d9fc8cf8fd90f685840b772250	False	配布・検証資産
